"","X","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"17567",17567,360810358002014,29.27734375,9,16,4,10,11,8,0,0,1,1,2,1,5,1,1,0,0,0,0,2,0,9,0,3,2,1,3,24,0,0,0,2,26,3,2,3,9,6,9,20
"17568",17568,360810358003000,33.24609375,10,13,7,9,12,9,0,0,0,1,2,1,5,3,1,0,0,2,0,2,1,8,0,2,2,0,1,28,0,1,0,0,28,2,6,3,7,4,13,17
"17569",17569,360810358003001,26.12109375,5,13,7,3,12,10,0,0,0,0,1,1,1,3,2,0,0,1,0,4,1,11,0,0,0,0,1,21,0,1,0,2,24,1,5,7,4,4,7,18
"17570",17570,360810358003002,17.74609375,3,8,4,4,4,7,0,0,0,1,1,0,1,5,0,0,0,1,0,1,0,2,0,2,0,1,0,14,0,0,0,1,14,1,0,1,6,5,8,7
"17571",17571,360810358003003,23.5390625,3,17,4,7,9,8,0,0,0,0,0,0,3,3,2,0,1,2,1,2,1,6,0,1,1,1,5,18,0,1,0,0,20,4,6,7,4,4,11,13
"17572",17572,360810358003004,16.83203125,4,9,3,4,9,3,0,0,0,0,0,0,2,3,1,1,1,0,0,2,1,4,0,0,1,0,7,9,0,0,0,0,13,3,2,3,4,3,5,11
"17573",17573,360810358003005,22.94140625,7,12,3,2,10,10,0,0,0,1,0,0,2,1,2,0,1,0,0,4,1,5,1,2,0,2,12,9,0,1,0,0,12,10,4,3,2,6,9,13
"17574",17574,360810358003006,15.765625,2,12,4,2,11,5,0,0,0,0,0,0,1,2,0,3,0,1,0,1,1,6,0,3,0,0,1,17,0,0,0,0,18,0,6,3,7,0,7,11
"17575",17575,360810358003007,23.70703125,4,12,5,7,6,8,0,0,0,1,0,0,2,3,0,1,0,1,0,2,1,7,0,0,2,1,10,11,0,0,0,0,20,1,1,6,6,4,9,12
"17576",17576,360810358003008,9.70703125,2,4,1,2,3,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,1,5,0,1,0,0,6,1,2,0,1,2,3,4
"17577",17577,360810358003009,7.875,0,7,3,0,2,8,0,0,0,0,0,1,1,0,0,1,0,1,0,2,0,1,0,2,0,1,0,9,0,0,0,1,9,1,1,3,3,3,3,7
"17578",17578,360810358003010,20.80859375,2,10,3,2,8,5,0,0,0,0,0,0,5,1,0,1,0,0,0,1,0,6,0,0,0,1,2,13,0,0,0,0,14,1,3,4,2,4,9,6
"17579",17579,360810358003011,29.3359375,8,14,5,9,11,7,0,0,0,0,0,5,5,3,2,0,0,0,0,3,0,8,0,0,1,0,8,18,0,1,0,0,25,2,7,2,6,4,13,14
"17580",17580,360810358004000,20.375,1,11,2,3,7,4,0,0,0,0,0,0,1,1,0,0,0,2,0,1,1,5,0,2,1,0,0,13,0,0,0,1,13,1,2,6,3,2,7,7
