"","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"1514","360050232002001",5,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,0,1,0,0,4,1,1,2,2,0,2,3
"1515","360050232002002",50,11,32,7,34,14,2,0,0,0,0,1,0,1,0,0,0,0,7,0,30,0,3,0,5,3,0,38,6,0,6,0,0,25,25,8,15,10,6,31,19
"1516","360050233011000",90,17,58,15,20,49,21,0,0,0,0,0,14,48,1,12,0,0,0,0,0,0,0,0,3,12,0,67,15,1,3,0,4,31,59,23,17,23,10,77,13
"1517","360050233011001",92,28,50,14,17,37,38,0,0,0,0,0,0,1,0,0,1,0,0,53,0,0,33,0,0,4,0,44,43,0,4,0,1,50,42,15,13,20,16,25,67
"1518","360050233011002",29,1,18,10,9,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,8,0,21,6,0,2,0,0,13,16,10,4,7,7,7,22
"1519","360050233012000",2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,2,0
"1520","360050233012001",3,0,3,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,1,0,1,1,3,0
"1521","360050233013000",10,3,7,0,0,10,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,0,0,0,0,3,7,1,2,3,1,9,1
"1522","360050233013001",62,9,37,16,15,35,12,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,38,0,9,2,0,38,18,0,4,0,2,31,31,18,12,8,15,16,46
"1523","360050233014000",78,13,49,16,5,35,38,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,70,0,0,0,1,50,23,0,3,0,2,46,32,11,12,29,13,28,50
"1524","360050233021000",26,0,21,5,17,5,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,23,0,0,0,0,7,19,0,0,0,0,17,9,5,4,11,6,15,11
