"X","id","s000","s000_d0","s000_d1","s000_d2","s000_d3","coords.x1","coords.x2","optional"
35697,360050065002000,2,1,1,0,0,1830436.625,585825.25,TRUE
35698,360050065002001,22,19,3,0,0,1830412.5,585767.75,TRUE
35699,360050065002003,4,3,1,0,0,1830349,585575.5,TRUE
35700,360050065002004,158,139,19,0,0,1830306.625,585416.125,TRUE
35701,360050065003000,178,156,22,0,0,1830548.125,585434.625,TRUE
35702,360050065004000,83,73,10,0,0,1830888.125,585403.3125,TRUE
35703,360050065004001,106,90,16,0,0,1830768.25,585412.75,TRUE
35704,360050065004002,697,624,73,0,0,1830760.125,585329.875,TRUE
35705,360050065004003,1863,1735,128,0,0,1830540.5,585351.5625,TRUE
35706,360050065004004,13,11,2,0,0,1830861,585327.6875,TRUE
35707,360050067001000,41,37,4,0,0,1831050.375,585708.375,TRUE
35708,360050067001001,4,4,0,0,0,1830949.625,585717.0625,TRUE
35709,360050067001002,10,8,2,0,0,1830941.375,585641.0625,TRUE
35710,360050067001003,2,2,0,0,0,1831030.125,585626.625,TRUE
35711,360050067001004,53,51,2,0,0,1830935.125,585564.625,TRUE
35712,360050067001005,126,110,16,0,0,1830914.5,585487,TRUE
35713,360050067002000,14,14,0,0,0,1830783.25,585581.0625,TRUE
35714,360050067002001,3,3,0,0,0,1830564.375,585604.1875,TRUE
35715,360050067002002,61,52,9,0,0,1830556.25,585521.5,TRUE
35716,360050067003001,4,4,0,0,0,1830473.625,585764.3125,TRUE
35717,360050067005000,14,12,2,0,0,1830776.375,585499.3125,TRUE
35718,360050067006000,1,1,0,0,0,1830797.5,585732.8125,TRUE
35719,360050068001000,2,2,0,0,0,1834481.25,587795.4375,TRUE
35720,360050068001001,1,1,0,0,0,1834409.625,587755.375,TRUE
35721,360050068001002,4,4,0,0,0,1834339.125,587716.5,TRUE
35722,360050068002000,81,78,3,0,0,1834270.25,587678.125,TRUE
35723,360050068002001,61,58,3,0,0,1834198.625,587638.4375,TRUE
35724,360050068003001,1,0,1,0,0,1834416.125,587535.3125,TRUE
35725,360050068003002,18,18,0,0,0,1834343.875,587504.375,TRUE
35726,360050069001000,2,2,0,0,0,1831112.125,586023.375,TRUE
35727,360050069001001,3,3,0,0,0,1830990.625,586041.8125,TRUE
35728,360050069001002,14,14,0,0,0,1830979.5,585966,TRUE
35729,360050069001003,11,11,0,0,0,1830966.375,585880.0625,TRUE
35730,360050069001004,43,38,5,0,0,1830957,585793.5,TRUE
35731,360050069001005,18,17,1,0,0,1831066,585782.375,TRUE
35732,360050069001006,5,5,0,0,0,1831082,585864.625,TRUE
35733,360050069001007,5,4,1,0,0,1831097.75,585947.4375,TRUE
35734,360050069002001,5,5,0,0,0,1830694.25,586087.1875,TRUE
35735,360050069002002,2,1,1,0,0,1830841,586065.3125,TRUE
35736,360050069002003,9,9,0,0,0,1830829.625,585989.625,TRUE
35737,360050069002005,9,9,0,0,0,1830805.375,585808.6875,TRUE
35738,360050069003000,11,10,1,0,0,1830674.875,585898.6875,TRUE
35739,360050070001002,11,10,1,0,0,1834781.75,587694.625,TRUE
35740,360050070001003,2,2,0,0,0,1834709.625,587663.3125,TRUE
35741,360050070001004,4,4,0,0,0,1834637.5,587632.0625,TRUE
35742,360050070001005,1,1,0,0,0,1834564.375,587600.1875,TRUE
35743,360050070002000,28,26,2,0,0,1834620.5,587873.125,TRUE
35744,360050070002001,28,26,2,0,0,1834551.375,587834.8125,TRUE
